Experiment,Feature Count,Accuracy,F1 Score (Macro),Recall (Macro),ROC-AUC (Macro),RF Accuracy,RF F1 Score,RF Recall,RF ROC-AUC
Full Model (All Features),28,0.8842126259100429,0.777756786843267,0.777503608537694,0.9424093772149785,0.8833150493667099,0.7629947023126512,0.7444524515660939,0.9418405936546198
- Weather Variables,21,0.8840131644559689,0.7658354180752033,0.7533458751084118,0.9415476802810346,0.8829161264585619,0.7640018768652878,0.7444060553379243,0.9415130548959146
- Temporal Features,24,0.8832153186396728,0.7668042750594548,0.7572471624389272,0.9384285299641509,0.8825172035504139,0.763511585982595,0.7433795177822171,0.9409989710239491
- Engineered Features,21,0.8836142415478209,0.765587325006929,0.7520237206437937,0.942522982922223,0.8801236661015259,0.7553260872116424,0.7325466322735176,0.9418123097757709
Core Features Only,14,0.8815198962800439,0.7541708259333878,0.7336247544839481,0.936833299968681,0.8825172035504139,0.7613492150450764,0.7403606352918747,0.9414730544887636
