model,epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_macro_f1,val_high_risk_recall,training_time
CNN-LSTM,10,0.130340132708781,0.08953897346698379,0.9364,0.96011611763221,0.7854337084931583,0.31054131054131057,19.625163316726685
CNN-LSTM,20,0.08905426090223942,0.12063786865592985,0.9626,0.9587277546383945,0.8082401384417602,0.42450142450142453,40.55659103393555
CNN-LSTM,30,0.050280318816444534,0.17499843302002122,0.9804,0.9580966805502966,0.794999916815876,0.37037037037037035,59.82280349731445
CNN-LSTM,40,0.027775887437862343,0.20525302724099365,0.9918,0.9564558879212419,0.8078322744918925,0.46153846153846156,79.18977642059326
CNN-LSTM,50,0.0198599166826502,0.24003777250518918,0.993,0.9569607471917203,0.8084622312719868,0.452991452991453,100.93989896774292
GRU,10,0.13704249341043515,0.08226485206638817,0.9332,0.9597374731793512,0.7807868385739636,0.2934472934472934,27.892873287200928
GRU,20,0.07038980842136827,0.12388473107726737,0.9712,0.9598636879969709,0.8080000599147522,0.41025641025641024,54.82797932624817
GRU,30,0.013460512375453834,0.2208463103523612,0.9962,0.9582228953679162,0.8127186430186195,0.45584045584045585,79.17264151573181
GRU,40,0.005582391485339977,0.29022326214823774,0.9984,0.9572131768269595,0.79754198875454,0.39316239316239315,101.81081223487854
GRU,50,0.0017350503761066327,0.30676773148742154,0.9998,0.9584753250031554,0.8110515617731217,0.45014245014245013,126.15430521965027
LSTM,10,0.13731990479162848,0.07728490864908887,0.9338,0.960747191720308,0.7931188533873552,0.3333333333333333,26.80908465385437
LSTM,20,0.07796968759281905,0.10894561037194876,0.9674,0.9582228953679162,0.8179768870511382,0.47863247863247865,51.00862956047058
LSTM,30,0.023264564112351643,0.18775099013616156,0.9934,0.9562034582860027,0.8012548404537632,0.4188034188034188,75.72876119613647
LSTM,40,0.0068904461475738,0.2334248284847947,0.9976,0.9577180360974379,0.8090764764818045,0.4415954415954416,99.7005524635315
