Feature,Permuted Macro F1,Macro F1 Drop,Relative Importance (%)
load_utilization,0.6923341115734245,0.08441828477367064,10.86810741372312
demand_utilization,0.6932440476271172,0.08350834871997792,10.750961195961583
renewable_ratio,0.7195945597427226,0.05715783660437257,7.358565853568521
electricity_demand,0.7548934759130651,0.021858920434030038,2.814142645304732
transformer_load,0.754978021429284,0.02177437491781109,2.803258157967899
transformer_age,0.7612701725254919,0.015482223821603247,1.9931993637113863
renewable_generation,0.7668223270338618,0.00993006931323337,1.2784085842454325
industrial_load_ratio,0.7684407856263172,0.008311610720777907,1.0700463570972787
upazila,0.7721360663773691,0.004616329969726052,0.5943116482724341
substation_id,0.7736913641536267,0.003061032193468427,0.39408081749909296
population_density,0.7741318715125255,0.0026205248345696486,0.33736939169977864
is_peak_hour,0.7756494022092405,0.0011029941378546404,0.142000738335896
transformer_capacity,0.7760564878125868,0.0006959085345082938,0.08959206792035748
humidity,0.776529898696896,0.00022249765019910495,0.02864460428387026
weekday,0.7765625425589698,0.00018985378812530485,0.024441995804344818
hour,0.7767468634565206,5.5328905745888335e-06,0.0007123107183973768
wind_temp_interaction,0.7768664398472058,-0.0001140435001106832,0.0
area_type,0.7769532563968452,-0.00020086004975006233,0.0
wind_speed,0.7770839706657405,-0.000331574318645389,0.0
thi,0.7771161030572862,-0.0003637067101910363,0.0
outage_history,0.7771979436998381,-0.00044554735274293655,0.0
is_weekend,0.7775277174545856,-0.0007753211074904565,0.0
weather_state,0.7775650796008763,-0.0008126832537811435,0.0
temperature,0.7776774915121494,-0.000925095165054235,0.0
feeder_id,0.7776853186783116,-0.0009329223312164459,0.0
rainfall,0.778395266116466,-0.0016428697693708916,0.0
maintenance_due,0.7792559008819716,-0.002503504534876466,0.0
district,0.7796951372938258,-0.0029427409467306376,0.0
